PLAYER_NAME,TEAM_ABBREVIATION,TWITTER_HANDLE,SALARY_MILLIONS,ACTIVE_TWITTER_LAST_YEAR,TWITTER_FOLLOWER_COUNT_MILLIONS
Russell Westbrook,OKC,russwest44,26.54,1,4.5
Boban Marjanovic,DET,0,7,0,0
Demetrius Jackson,BOS,d_jay11,1.45,1,0.049
Anthony Davis,NOP,antdavis23,22.12,1,1.22
James Harden,HOU,jharden13,26.5,1,4.47
Kevin Durant,GSW,KDTrey5,26.54,1,16.2
LeBron James,CLE,KingJames,30.96,1,37
Chris Paul,LAC,cp3,22.87,1,6.4
DeMarcus Cousins,NOP,boogiecousins,16.96,1,0.826
Giannis Antetokounmpo,MIL,giannis_an34,2.99,1,0.246
Kawhi Leonard,SAS,kawhileonard,17.6,0,0.166
Joel Embiid,PHI,JoelEmbiid,4.82,1,0.793
Karl-Anthony Towns,MIN,karltowns,5.7,1,0.281
Nikola Jokic,DEN,jokicnikola15,1.3,1,0.009
Jimmy Butler,CHI,jimmybutler,16.4,1,0.469
Hassan Whiteside,MIA,youngwhiteside,22.12,1,0.164
Rudy Gobert,UTA,rudygobert27,2.1,1,0.195
Isaiah Thomas,BOS,isaiah_thomas,6.58,1,0.639
Mike Conley,MEM,mconley11,26.54,1,0.342
Damian Lillard,POR,Dame_Lillard,24.33,1,1.34
Gordon Hayward,UTA,gordonhayward,15.41,1,0.252
DeMar DeRozan,TOR,DeMar_DeRozan,26.54,1,0.58
Joel Bolomboy,UTA,bolomboy21,0.6,1,0.009
Enes Kanter,OKC,enes_kanter,17.15,1,0.489
John Wall,WAS,johnwall,16.96,1,1.81
Blake Griffin,LAC,blakegriffin32,20,1,4.19
Zach Randolph,MEM,MacBo50,10.36,1,0.192
Dwight Howard,ATL,dwighthoward,23.18,1,6.97
Stephen Curry,GSW,stephencurry30,12.11,1,9.56
Marc Gasol,MEM,marcgasol,19.69,1,1.1
DeAndre Jordan,LAC,deandre,21.17,1,0.984
Kevin Love,CLE,kevinlove,21.17,1,2.55
Kyle Lowry,TOR,klow7,12,1,0.589
Pau Gasol,SAS,paugasol,7.45,1,6.38
Nikola Vucevic,ORL,nikolavucevic,12,1,0.038
Eric Bledsoe,PHX,ebled2,14,1,0.199
Greg Monroe,MIL,m10ose,17.15,0,0.0369
Edy Tavares,CLE,waltertavares22,1,1,0.008
Josh Huestis,OKC,jhuestis,1.14,1,0.013
Kemba Walker,CHA,kembawalker,12,1,0.336
Andre Drummond,DET,andredrummond,22.11,1,1.22
Jonas Valanciunas,TOR,jvalanciunas,4.66,1,0.162
Paul George,IND,yg_trece,18.31,1,1.7
Kyrie Irving,CLE,kyrieirving,17.64,1,3.48
J.J. Barea,DAL,jjbareapr,4.1,1,0.296
Lou Williams,HOU,teamlou23,7,1,0.163
Al Jefferson,IND,0,9.56,0,0
Willy Hernangomez,NYK,willyhg94,1.35,1,0.055
Kyle O'Quinn,NYK,kyle_oquinn,3.92,1,0.024
Jeremy Lin,BKN,JLin7,11.48,1,2.4
Jeff Teague,IND,teague0,8,1,0.083
Tyson Chandler,PHX,tysonchandler,13,1,0.84
Clint Capela,HOU,capelaclint,1.3,1,0.025
Goran Dragic,MIA,goran_dragic,15.89,1,0.226
Beno Udrih,DET,benoudrih1,1.55,1,0.023
Shawn Long,PHI,shawnlong21,0.54,1,0.002
George Hill,UTA,george_hill3,8,1,0.244
Alan Williams,PHX,alantwilliams,0.96,1,0.008
Trevor Booker,BKN,35_fitz,9.05,1,0.031
Archie Goodwin,BKN,a1laflare10,0.94,1,0.101
Nerlens Noel,DAL,nerlensnoel3,4.38,1,0.245
Paul Millsap,ATL,paulmillsap4,18.67,1,0.065
David Lee,SAS,lee042,2.102,1,0.356
Al Horford,BOS,al_horford,26.54,1,0.253
JaVale McGee,GSW,javalemcgee34,1.4,1,0.193
CJ McCollum,POR,cjmccollum,3.22,1,0.161
Rudy Gay,SAC,0,13.33,0,0
Dirk Nowitzki,DAL,swish41,25,1,2.89
Brook Lopez,BKN,0,21.16,0,0
Jeremy Lamb,CHA,jlamb,3.03,1,0.055
Kenneth Faried,DEN,kennethfaried35,12.08,1,0.4
Dewayne Dedmon,SAS,d_dedmon3,2.89,1,0.015
David West,GSW,d_west30,1.55,1,0.235
Brandon Bass,LAC,bestbetbass,1.55,1,0.025
LaMarcus Aldridge,SAS,aldridge_12,20.57,1,0.669
Jabari Parker,MIL,jabariparker,5.37,1,0.281
Dwyane Wade,CHI,dwyanewade,23.23,1,7.01
Jrue Holiday,NOP,jrue_holiday11,11.28,1,0.129
Jarnell Stokes,DEN,jarnellstokes,0.98,1,0.045
James Johnson,MIA,0,4,0,0
Nick Collison,OKC,nickcollison4,2.24,1,0.156
Bradley Beal,WAS,realdealbeal23,22.12,1,0.276
Carmelo Anthony,NYK,carmeloanthony,24.56,1,8.94
Nicolas Batum,CHA,nicolas88batum,20.87,1,0.912
Tyreke Evans,SAC,tyrekeevans,10.2,1,0.182
Dennis Schroder,ATL,DennisMike93,2.7,1,0.044
Draymond Green,GSW,money23green,15.33,1,0.911
Jusuf Nurkic,POR,bosnianbeast27,1.92,1,0.031
Elfrid Payton,ORL,elfrid,12.8,1,0.05
Richaun Holmes,PHI,rich_holmes22,1.07,1,0.01
Michael Beasley,MIL,easyst0,0.31,1,0.064
Brandan Wright,MEM,bwright34,5.7,1,0.074
Ricky Rubio,MIN,rickyrubio9,13.4,1,2.23
Marreese Speights,LAC,mospeights16,1.04,1,0.244
Danilo Gallinari,DEN,gallinari8888,15.05,1,0.711
Thomas Robinson,LAL,trobinson0,1.05,1,0.126
Tobias Harris,DET,tobias31,16,1,0.022
Julius Randle,LAL,j30_randle,3.28,1,0.358
Cheick Diallo,NOP,cheick_diallo13,1.31,1,0.015
Harrison Barnes,DAL,hbarnes,3.87,1,0.597
